tool_config,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
tier1_bash_only.json,30,0,0,0,380.7747,562389.2667,5647.7667,45.7667,0,"{""berry"": 145, ""cat"": 94, ""find"": 69, ""grep"": 163, ""echo"": 863, ""cd"": 26, ""ls"": 8, ""gdb"": 2, ""pwd"": 1, ""if"": 1, ""docker"": 1}"
tier3_gdb_only.json,30,0,0,0,29.1311,1276.5667,192.8333,4.0667,121.4667,"{""code"": 31, ""b"": 7, ""r"": 5, ""p"": 34, ""up"": 1, ""d"": 1, ""del"": 5, ""bt"": 3, ""x/i"": 2, ""n"": 1, ""run"": 3, ""print"": 8, ""info"": 8, ""disassemble"": 1, ""shell"": 6, ""frame"": 2, ""break"": 2, ""continue"": 2}"
