# Missing realworld cells — need fresh model runs
# Total: 156
# Format: <case> | T<tier> | <model>

bc-heap-overflow                               | T1 | openrouter/anthropic/claude-sonnet-4.5
juliet-cwe121-char-type-overrun-memcpy-01      | T3 | openrouter/google/gemini-2.5-flash
juliet-cwe121-char-type-overrun-memcpy-01      | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe121-char-type-overrun-memcpy-01      | T3 | openrouter/openai/gpt-4o
juliet-cwe122-char-type-overrun-memcpy-01      | T1 | openrouter/google/gemini-2.5-flash
juliet-cwe122-char-type-overrun-memcpy-01      | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe122-char-type-overrun-memcpy-01      | T1 | openrouter/openai/gpt-4o
juliet-cwe122-char-type-overrun-memcpy-01      | T3 | openrouter/google/gemini-2.5-flash
juliet-cwe122-char-type-overrun-memcpy-01      | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe122-char-type-overrun-memcpy-01      | T3 | openrouter/openai/gpt-4o
juliet-cwe126-char-alloca-loop-01              | T1 | openrouter/google/gemini-2.5-flash
juliet-cwe126-char-alloca-loop-01              | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe126-char-alloca-loop-01              | T1 | openrouter/openai/gpt-4o
juliet-cwe126-char-alloca-loop-01              | T3 | openrouter/google/gemini-2.5-flash
juliet-cwe126-char-alloca-loop-01              | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe126-char-alloca-loop-01              | T3 | openrouter/openai/gpt-4o
juliet-cwe415-malloc-free-char-01              | T1 | openrouter/google/gemini-2.5-flash
juliet-cwe415-malloc-free-char-01              | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe415-malloc-free-char-01              | T1 | openrouter/openai/gpt-4o
juliet-cwe415-malloc-free-char-01              | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
juliet-cwe415-malloc-free-char-01              | T3 | openrouter/google/gemini-2.5-flash
juliet-cwe415-malloc-free-char-01              | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe415-malloc-free-char-01              | T3 | openrouter/openai/gpt-4o
juliet-cwe416-malloc-free-char-01              | T1 | openrouter/google/gemini-2.5-flash
juliet-cwe416-malloc-free-char-01              | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe416-malloc-free-char-01              | T1 | openrouter/openai/gpt-4o
juliet-cwe416-malloc-free-char-01              | T3 | openrouter/google/gemini-2.5-flash
juliet-cwe416-malloc-free-char-01              | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
juliet-cwe416-malloc-free-char-01              | T3 | openrouter/openai/gpt-4o
man-overflow                                   | T1 | openrouter/anthropic/claude-sonnet-4.5
man-overflow                                   | T1 | openrouter/google/gemini-2.5-flash
man-overflow                                   | T1 | openrouter/google/gemini-3.1-flash-lite-preview
man-overflow                                   | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
man-overflow                                   | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
man-overflow                                   | T1 | openrouter/openai/gpt-5.5
man-overflow                                   | T3 | openrouter/anthropic/claude-sonnet-4.5
man-overflow                                   | T3 | openrouter/google/gemini-2.5-flash
man-overflow                                   | T3 | openrouter/google/gemini-3.1-flash-lite-preview
man-overflow                                   | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
man-overflow                                   | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
man-overflow                                   | T3 | openrouter/openai/gpt-4o
man-overflow                                   | T3 | openrouter/openai/gpt-5.5
man-overflow                                   | T3 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
ncompress-overflow                             | T1 | openrouter/anthropic/claude-sonnet-4.5
ncompress-overflow                             | T1 | openrouter/google/gemini-2.5-flash
ncompress-overflow                             | T1 | openrouter/google/gemini-3.1-flash-lite-preview
ncompress-overflow                             | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
ncompress-overflow                             | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
ncompress-overflow                             | T1 | openrouter/openai/gpt-4o
ncompress-overflow                             | T1 | openrouter/openai/gpt-5.5
ncompress-overflow                             | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
ncompress-overflow                             | T3 | openrouter/anthropic/claude-sonnet-4.5
ncompress-overflow                             | T3 | openrouter/google/gemini-2.5-flash
ncompress-overflow                             | T3 | openrouter/google/gemini-3.1-flash-lite-preview
ncompress-overflow                             | T3 | openrouter/openai/gpt-5.5
polymorph-overflow                             | T1 | openrouter/anthropic/claude-sonnet-4.5
polymorph-overflow                             | T1 | openrouter/google/gemini-2.5-flash
polymorph-overflow                             | T1 | openrouter/google/gemini-3.1-flash-lite-preview
polymorph-overflow                             | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
polymorph-overflow                             | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
polymorph-overflow                             | T1 | openrouter/openai/gpt-5.5
polymorph-overflow                             | T3 | openrouter/anthropic/claude-sonnet-4.5
polymorph-overflow                             | T3 | openrouter/google/gemini-2.5-flash
polymorph-overflow                             | T3 | openrouter/google/gemini-3.1-flash-lite-preview
polymorph-overflow                             | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
polymorph-overflow                             | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
polymorph-overflow                             | T3 | openrouter/openai/gpt-4o
polymorph-overflow                             | T3 | openrouter/openai/gpt-5.5
polymorph-overflow                             | T3 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
