panel	case	tier	model	prior_status
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo5	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo7	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo8	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/openai/gpt-4o	no_collect
realworld	polymorph-overflow	3	openrouter/openai/gpt-4o	build_failed
realworld	bc-heap-overflow	3	openrouter/openai/gpt-5.5	error
realworld	berry-1	3	openrouter/openai/gpt-5.5	timeout
realworld	berry-2	3	openrouter/openai/gpt-5.5	timeout
realworld	berry-3	3	openrouter/openai/gpt-5.5	timeout
realworld	berry-5	3	openrouter/openai/gpt-5.5	timeout
realworld	ncompress-overflow	3	openrouter/openai/gpt-5.5	build_failed
realworld	polymorph-overflow	3	openrouter/openai/gpt-5.5	build_failed
realworld	bc-heap-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507	error
realworld	polymorph-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507	build_failed
